content,sentiment
@iFood não consegui pagar por pix/crédito/débito. Coloquei saldo no app e ainda assim não consigo pedir. Agora vou perder o dinheiro que coloquei como saldo? 🤬,0
O entregador do ifood me reconheceu,1
o medo de roubarem o pedido do iFood mano KKKKKKKK,0
@uemputassa @shitpostverdade brócolis é uma das melhores coisas q a natureza criou🫶🏻🙌🏻,1
"pedi bolo no ifood e o entregador ta vindo de bicicleta, coitado aqui só tem morro, fiquei com peso na consciência",1
"@GracaAlmeida63 É o que a gente que. Agora que ele não é mais procurador, pode dirigir um Uber, entregador de Ifood... Tanto trabalho honesto pra ele fazer",1
"Ifood salva, combo de 30 reais por 10 😂🔥🔥",2
O reclame aqui migrando minha reclamação para o iFood? Kkkkk oxi site maluco,0
@suckxzr puts kkkkkk se eu te contar que aqui nem ifood tem...,0
"@xiaosdeath o uber eats era infinitamente melhor que o ifood, sempre tinha cupom, entrega grátis e nunca te davam golpe kkk no ifood ja perdi as contas",0
EU ODEIO PEDIDO MÍNIMO NO IFOOD,0
eu agorinha tentando fechar o texto e pedindo vinho no ifood,1
Nada supera eu pesquisando sapato no ifood,1
"@nannyalbuquerq deus me livre, única visita essa hora só se for entregador de ifood",1
"Pedir um combo no Ifood por 20 reais com 4 x tudo, batata com cheddar, anel de cebola, frango a passarinho e linguiça calabresa, se chegar só os x tudo já to feliz 😌",2
"Comprei um lanche no IFood , comi , e tenho certeza que vai me fazer mal , taquipariu",2
peço tanto ifood que os porteiros já decoraram meu código 😭😭😭,2
"Ontem o pedido do ifood realmente superou as expectativas 

Carne crua (crua mesmo, se fosse mal passado eu não reclamaria) e de procedência duvidosa (dito filé mignon) por 140 reais",0
Ifood hoje marolou com minha cr,1
"A plataforma de delivery que primeiro criar estações de espera como ""pontos de ônibus"" climatizados e com acesso a internet ganhará os corações dos motoboys pro resto da vida. Se liga @iFood @UberEats @99Food @RappiBrasil",1
@lees_af depressão???? que isso? tem no ifood?,1
"To morrendo de fome mas n vou pedir iFood, ainda é terça feiraaaaaaa",1
O atendimento do @iFood é péssimo! Me manda o lanche errado e não tenho como entrar em contato com a loja quando o erro foi todo dela. https://t.co/iyWv1D2o7G,0
"hoje em dia eu gasto 170$ com mercado por mês e uns 450$ com academia/personal/nutri

quando comecei gastava uns 500$ em lanches por mês, porque todo final de semana pedia ifood e só comprava porcaria no mercado…",1
@alvezfy O IFood te entrega aqui em casa?,1
📞Alô Dollars Pode Falar Agora Ou Estão Virando Ifood Da Noise #ajfleague,1
tô tão chapada que fiz o peido no ifood duas vezes e veio as duas e descontou no cartel,1
So queria achar uma coisa gostosa pra comer no ifood e nao precisar ir fazer comida estando cheia de coisa pra fazer 🥲,2
"Justo eu que odeio sopa, procurando opções no ifood! Se tiverem alguma sugestão, aceito! 😷",1
agora que a nossa querida (🤫) recebeu os presentinhos de *hj* eu já posso postar o surto que foi com o entregador do ifood kjkkkkkkkkkk https://t.co/WIhULURSse,1
@glarentisx Hoje o cara tá avaliando comida congelada e ifood no tiktok,1
Acabei de comprar um Yakisoba por 13 reais numa promoção do ifood. Medo genuíno de ser macarrão instantâneo,1
@DEletheria O clássico print com caixa de e-mail lotada de spam e promoções do ifood,0
Faculdade tá mto difícil vou entra pro ifood,2
"@iFood vamo querer né meus queridos, quase 4 horas esperando e ainda rejeitaram meu pedido de cancelamento",0
que loucura abrir o ifood em são paulo vc se depara com restaurantes que cobram 25 reais a entrega,0
auge da preguiça: acabo de fazer feira deitada pelo ifood pra não precisar pisar no supermercado,2
Faltava 1 minuto pro restaurante fechar no Ifood e eu pedi qualquer coisa só pela emoção. E vão me entregar. E eu tenho problemas.,1
mimar ele com comida e ifood émeu jeitinho,1
@iFood cadê,0
só queria um cupom no ifood,1
"@iFood Chamei na DM, @iFood! Pra que? Só pra me deixarem sem resposta em mais um lugar?",0
"lembrando do dia q fui pegar o uber moto e o cara chegou com a mochila do ifood, eu perguntei se tinha pedido flash e ele só respondeu não e me deu a bolsa

eu indo com uma mochila ENORME do ifood quase caindo do ombro a viagem td 🤡",0
Entregador do iFood reage a patricinha do escritório da empresa | Galãs ... https://t.co/Fwxv8R8fkn via @YouTube,1
falando sério.. cheguei em casa exausta mas tão exausta q tô cogitando ir dormir morrendo de fome pra n ter que esperar um iFood,1
"@blueshakerato Comida 500 nisso já passou do salário minimo, e ainda passou de 1800 que é um salario um pouco maior pra um brasileiro comum, agora se me explica? Como que guarda? Kkkkk não tô nem contando o ifood, o material escolar do filho, a gasolina do carro e da moto",1
@CaioRodrigo mulher ifood então nelas,1
a atendente da padaria santa marta aqui da tjk que se apaixonou pelo entregador do ifood,1
@jujubertgostoso mandando ifood agora,1
to me derramando legal no Ifood,2
"andaria no intervalo comigo?  

• sexualidade: não preciso de rótulos 
• gênero: romance 
• app fav: ifood
• signo: sla porra
• animal fav: lulas
• altura: 1,90
• mbti: intj
• última música que ouviu: provavelmente “por que homem não chora - pablo",1
@lwtposty ia fazer um macarrãozinho mas decidimos pedir Ifood 👉🏻👈🏻,2
Quando o @iFood vai ter a opção de colocar senha no app?? Meu filho acabou de pedir 200 reais de comida japonesa 🥴,0
@iFood porque pediram informações complementares se era para finalizar desta forma?,0
@_erickcrf Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk subiu com o entregador do ifood coe,1
@vampzlua @eae_juliane promo no Ifood?????????,1
"@obrindependente Conclusão: Enquanto o ifood fica cada dia mais rico.  O motoboy que é o coração do aplicativo, bate com aparelhos. Taxa de entrega ruim, sol e chuva na cara, banheiro(uma luta). E no final do ano, 👎 ganha nem 1,00 de prêmio do aplicativo. Mas, para publicidade tem de sobra.",0
ai vc pede ifood e o entregador é esse ⬇️ https://t.co/dpinwlWWGG,0
"literalmente segundo dia trampando na agência e acabei de sair do escritório kkk se eu nao ficar rica e foda em marketing dessa vez, eu desisto dessa área e vou começar a vender brigadeiro no iFood https://t.co/fhJFkawymv",1
480 reais em ifood só esse mês... ta explicado o pq estou no club do ifood e ganho varios descontos :(,1
"Entrei no Ifood na hora certa, peguei logo 15 esfihas no Habib's",2
@carolemerick Alem do ifood? Tem. Aonde em BV? Mais para setubal ou mais para Pina?,1
@Juh_Queiros Vou pedir um ifood pra vc aq,1
"@iFood pedido veio incompleto e a ajuda não funciona no app, fica carregando eternamente 😤 como que faz?",0
@carlxp_ Pq n comprou no iFood? Burrada,1
"meu hobby ultimamente está sendo abrir o ifood só pra passar vntd, que crueldade viu",1
"Fui mt atriz hj, ganhei iFood do meu chefe 😍",1
"Amando que do nada apareceu essa promoção de 0,99 na minha conta e da minha mãe, e o açaí de 500 ml (que custaria 19) cantou loucamente. Às vezes você faz alguma coisa, iFood https://t.co/NqjvfbAyTM",2
tô triste queria comer um temaki achei cupom de 12 no Ifood mas pensei pensei e lembrei q tô precisando economizar,1
"Na moral, tem uns  cliente no ifood que são mt pau no cu msm",1
"Tinha um prato p 2 pessoas no ifood q era 100 e pouco e tava por 55, e eu ainda tinha um cupom de 20. Agora eu tenho comida pra um batalhão",2
vou assistir o filme do ifood distopico perai ja volto,0
me sentindo péssima pois pedi um ifood e começou a chover o entregador vai me achar uma vagabunda 😔,1
Eu tô com vontade de comer strogonoff bovino já tem 1 mês!! Acabei de pedir no ifood 60 conto que facada mas eu tô pior que gravida,0
@joaouchoa mas eh ifood amigo 🤭,1
@Iuccao se algum dia estiver por perto do recreio indico o empadão da rê (tem no ifood) baratinho e é uma delícia,2
"@coxasdosanji eu pedi só 1 vez no ifood, indo la pegar é de boa",1
"expectativa: voltar pra academia
realidade: pedi comida no ifood",1
"@iFood Fiz dois pedidos hoje e um mesmo motoboy retirou, quando eu passei o código ele não me entregou os dois pedidos, disse que retirou apenas um mas deu baixa nos dois no app, estou há 3 horas tentando resolver com vocês e nada. A foto no app era de uma mulher e veio um homem medo😱",0
"@em_com @iFood é uma vergonha. Pagam taxas ridículas para os entregadores, trazendo risco de vida por tão pouco. Quem trabalha com eles é por pura falta de opção, necessidade, pois é melhor que trabalhar de carteira assinada pra ganhar 1 salário",0
@maudxivory Bizzaro o ifood não ir até aí,0
@nathfinancas Nem no ifood numa noite de fim de semana ele gasta isso.,1
Queria pedir um ifood de 1 real mas o canto que peço tá fechado...,1
@ianamoral @rostodeneve Eu procurando hoje no ifood ACHEI UM ROUBO,0
ultimamente minhas notificações sao do ifood.,1
que putaria esse ifood,0
@ceckamilly Fui olhar preço no ifood e caí pra trás,0
Maior vacilo do @ifood é não ter UM lugar sequer que venda CALDO DE CANA. Que falta GRAVE! https://t.co/q22ra4B0kU,0
Pedi ifood 🥳,2
@iljeanl jean vc poderia me pagar um ifood to com anssiedade...,1
"@flptakashi Oi, venha ser triste comigo com IFood",0
obrigada ifood pelo alimento de cada dia,2
Deus abençoe esta trabalhadora pobre e coloque umas promoção no ifood,0
Duas compras em dois mercados no ifood no mesmo dia que vem com itens a menos e eles fazem um reembolso que agora vai demorar uma semana pra entrar na conta. Não sei por que ainda faço essas cagadas.,0
@vampzlua @eae_juliane po pensei que era pedido do ifood,1
"@Dudu Dois erros fatais: primeiro pedir uma sopa sem sal, sem cebola e sem alho, ingredientes essenciais para um bom tempero. Segundo: como q vc entra no iFood pra pedir SOPA DETOX, e não uma porcaria gostosa qualquer... me ajuda aiii Dudu kkkkkk",1
voce ja me encheu a paciência venda casada do ifood https://t.co/25JSkellt0,0
"@beatrizpaiva06 @TMVRICARDO Éverton contra o Ypiranga = Ifood
Ewerton contra o Botafake = Rappi 
Tenho até medo do que Éverton Sena possa fazer amanhã…⏳",1
"esse ifood é muito falido, não mandam um cupom tnc",0
"Quase morri hoje quando vi meu namorado pagando 17,00 em um milkshake no ifood COM PREGUIÇA DE IR COMPRAR",0
ifood fazendo a boa p mim fazer a vida do meu namorado feliz KKKKKKKKKKKKKKKKKKKKKKKKKKK,2
@Dudu Pq vc pediu isso no iFood ?,1
Obgd ifood por esse Yakisoba maravilhoso de 99 centavos ainda por cima cm entrega grátis 😋,2
Quero que si foda vou pedir IFood,2
"o menino do ifood veio em entregar um lanche e me desejou um ""bom trabalho pra vc tbm"" 😘♥️😍😍 KKKKKKKKKKKKK nunca ri tanto",1
"Caçando cupom do IFood para pedir Subway, que humilhação",1
@vaidesmaiar Se vc mora sozinho e come pouco até da. Mas o resto vc gasta no ifood kkkkkk,1
bom que esse dinheiro que economizo com ifood tô usando para ir para sp rsrsrs,1
"Eu recebo notificação do ifood todo dia desse lugar que fica no ABC e nem entrega na minha casa, não consigo entender https://t.co/XOE9mWLQCD",0
@Rhogrim onde que pede esses 2 pelo ifood?,1
oh mae vc vai financiar o ifood dos cria amanhã🙈,1
"Comprei aquele lanche de 30 reais por 99 centavos, @iFood poderia fazer todos os dias essa promoção kkkk",2
ai ke fome alguem me pede um ifood,1
oi ifood tudo bem,1
@FelipeBessa12_ O ifood tá perdendo,1
só deus sabe o quanto eu odeio o ifood,0
"Ifood não me dá um Japinha de graça, hoje é meu aniversário 😞😞",0
@IF00DIE ifood 🔥🔥🔥,1
"5 (cinco) horas esperando uma entrega de mercado no @iFood, todo esse tempo pra no final o pedido ser cancelado! estão de parabéns!",0
"Comprei um açaí de 550 ml no ifood por R$1,98 hahahah",2
"Tô a meia hora rolando o ifood atrás de algo bom pra comer. Ultimamente não tenho acertado nas minhas escolhas no ifood, preciso de um help!",0
@L0VEKAVEH me manda um ifood,1
"-  Passando raiva com @iFood , fiz compras duas vezes pelo  Extra e cancelaram as duas vezes alegando não achar ninguém em casa porém bem tentaram a enteega e até agora nada do.reembolso!",0
@WONGABADEER pq tem um entregador do ifood entregando hidratante velho,1
@Dudu Dudu mas tambem que ideia pedir SOPA pelo ifood cara,0
solta meu dinheiro Ifood 😐😐,1
"Queria viver de iFood 

Deus me livre fazer comida pqp",2
"Qualquer coisa que eu vá pedir no Ifood eu acabo pensando em "" pq não um sushizinho né """,2
me da vontade de pedir ifood quando eu literalmente não posso gastar nem com uma bala,2
"eu no ifood é uma indecisão sem fim, me dá vontade de comer desde japa ao árabe",2
"@oyasumimir o ifood bem:

VAI UM HAMBURGUER Aí?
VAI UM HAMBURGUER AÍ?
VAI UM HAMBURGUER AÍ?
VAI UM HAMBURGUER AÍ?
VAI UM HAMBURGUER AÍ?
VAI UM HAMBURGUER AÍ?",1
"queria uma promoçãozinha no ifood, no precinho de 1r$, pq é o cabe em meu orçamento",2
Meu ifood de 1 real voltou,2
ifood aíefood...a,1
@Luccassjf @zadorafp meu filho vieras nem ifood tem,0
"@Jeh_Magalhaes Carai, me manda um ifood na moral",1
@vampzlua @eae_juliane O pedido q ela fez as 4:47 foi no iFood por isso deu certo,1
pensando se gasto meu dinheiro cm ifood,1
Duvido você me mostrar seu histórico de pedido no Ifood 🫣,1
@maudxivory O ifood não entrega aí??,1
pedir um Xis Socrazy no ifood,1
"simplesmente amo o ifood pois me deu um cupom de 12 reais e pedi um combo inteiro de hamburger artesanal por 27,90 com frete grátis https://t.co/MnRswfzaxy",2
"Krl, comprei um x-tudo com refri por 5 conto no ifood",2
"@_yayamara @_trindade05 @AlanSou70974042 @cabelinhoxcitou ele tá igual ifood, só entrega a comida",1
"ele disse que ia mandar um ifood aqui pra casa e vai mandar msm, btf",1
@iFood Na minha época não me deram 30 dias para testar 😒,0
Entregador do iFood  | Galãs Feios https://t.co/u98t6MVcSb via @YouTube,1
esse video da mulher mostrando o predio do ifood é uma diarreia formato MOV,1
O entregador do iFood mandou um “Desce” super grosseiro 🥺 moço acabou de sair,0
@crystal0y0 @memphismayfe vou mandar pelo ifood,1
reclamando do frio e pedindo açaí no ifood,2
A felicidade da proletariada estressada é não ter voltado pra casa de bus e ainda por cima conseguir cupons do ifood pra comprar churros pq deu vontade CHUPA MUNDO agora vo relaxar antes de voltar a trabalhar,2
fui pedir um ifood mas foi tão rápido a entrega q nem o app me avisou pq não tinha dado nem 5min,2
meu clube ifood nao ta funcionando no meu lugar favorito de lanche vo coringar,0
o ifood ta como hoje https://t.co/T21UnRsgMi,1
só um ifood pode me salvar hoje,2
@Garotaerradaxx2 kkkk somos 2. Tô de dieta sem ifood por pelo menos 2 meses até me recuperar,0
Esperando o @iFood me estornar o dinheiro de dois pedidos que foram cancelados pelos restaurantes🫠,0
Existe uma hamburgueria “crente” na minha rua aí ce vai no iFood e os hambúrgueres são tipo “raabe” “Débora” juro n tem nada mais cringe que a cultura evangélica no br ahahah si divirto,1
"quando eu n comprava cupom do @iFood, ganhava vários, agora que compro, tenho nenhum cupom além de R$ 10 q eu compro, vamo de rappi",0
"Eu pedi essa sopa aqui no iFood e pensei “deve ser gostosinha”

E eu tô simplesmente chorando pra conseguir tomar PORQUE É A PIOR COISA QUE JÁ EXPERIMENTEI EM ANOS MEU DEUS DO CÉU COMO EU ME ODEIO https://t.co/2E2eTMRWLC",0
@tkkpetitstar Essa kenga do ifood ainda ta latindo ainda,0
Ele foi lá onde eu trabalho pegar um pedido do IFood e pediu para a filha do meu patrão me avisa que homem com tatuagem no pescoço teve aqui na padaria,1
@victoria_cunhaa Receita do iFood,1
"Mano, hoje eu vi um cara todo engravatadinho fazendo entregas, quando eu rodava no ifood eu botava minhas piores roupas kkkk eu em",1
"Fui dar dois conto pro motoka do iFood de caixinha e ele não aceitou não, queria que eu fizesse um pix k k k k k k",1
"@batatinhaquentk vem buscar fia, só fiz, sou ifood nao",1
@corinthians_ff Fon e tatu tão trabalhando no Ifood?,1
"Terça feira e todas as partes do meu cortou imploram pra pedir ifood, mas não irei, pois estou tomando vergonha na cara",0
suporte do @iFood é a maior merda,0
"Bizarro como realmente a ideia de morar num ap compacto, esterilizado e genérico virou o sonho do jovem tuitero. Eu acho é triste, pq venderam bem essa ideia de que viver num ap desse, trabalhar home office e jantar ifood todo dia é o ápice e vc vai ter sorte se conseguir.",1
"eu desinstalo o ifood pq na minha mente vai me fazer n pedir nd, ai quando bate a vontade eu vou lá e instalo igual uma vagabunda sem controle https://t.co/qfmPwmv38N",2
Foi-se o tempo que o iFood oferecia bons cupons.,0
"@hilde_angel Ou seja, nem o iFood o desgraçado do desempregado terá mais para trabalhar. Serão hordas vagantes humanas de desesperados.",1
@iFood Estou com Um problema e o suporte do aplicativo não resolve! Fiz um pedido sábado que nao foi entregue!,0
"lembrando do tweet q falava q tinha q ter uma alternativa popular e nacional ao ifood, pq na colombia criaram o rappi (e ele seria isso? aparentemente??)",1
Fiquei desconcertada com o entregador do iFood 🫠🫠,0
"Birra com uber.Não tenho ifood.Faz pouco que adquiri cartão. Pix é futuro.Compras via
net,jamais
Abomino aviões.Odeio velocidade e tudo que gira
Agora,sirva um vinho e me rodeie de pessoas agradáveis,onde há fogo para apreciar e azeitonas pretas para degustar
Esqueço até o cpf",1
Muito afim de um iFood agora 🥹🥹🥹,2
pra que djabo bota o restaurante no ifood pra estar sempre fechado,1
essa semana eu preciso rodar o máximo que eu puder no ifood,2
pedi uma canja de galinha no ifood bjs.,2
"@pedrocarneirojr @ricardo_loretti @venecasagrande @jornalodia Então, tem torcedor que e sem noção, o muleque era um Ifood na base fez um jogo bom e a galera já se emocionar muito, igual o Wesley",1
"Sou alcolatra mesmo kkk, dias desejando o acai, nada, promoção no ifood, ai teria que trocar a cerveja por ele, vou comprar  nao kkk",1
"Quem não me deu comida, me deu vale IFood hoje hahahahahahahhaha",2
ifood ta me deixando aporofobico,2
O dia está me implorando um ifood. Socorro,2
pedi uma pizza no ifood se for ruim vou ficar puto,2
"Sabor, textura e uma das palavras mais gostosas de se falar, é um clássico e É DO BRASIL! Pudim conquista o 1º lugar no podium.

Mas um doce com banana e doce de leite? Aceito, pfvr pode embrulhar pra viagem. 

Agora imagina um #pudim de #banoffee 🤯 melhor dos dois mundos, né?",2
"Ifood não me dá uma promoção de 0,99…mas também não peço nada lá 🤡",1
amo pedir coisa no ifood por 1 real,2
@VglMavi @trajaza só parar de gastar com ifood,0
pedi um ifood e o mano vai vir de bicicleta meudeus meu sorvete vai derreter todinho,0
eu já chorei pq esperei muito tempo um lanche de 10 reais do iFood e quando chegou era horrível daí ia jogar fora e td mas meu amigo comeu e eu fiz um macarrão de alho e ódio,0
ainda n comi nd hj por preguiça de fazer alguma coisa e n posso pedi ifood pq ja gastei todo meu dinheiro https://t.co/oSHkYFZeOV,2
ifood péssimo quando se trata de reembolso fique ai 30 dias sem me reembolsar que quero ganhar um processo,0
"@rosepaixao_on Tinha uma hamburgueria no ifood, sofri a maior exploração da história, ifood paga 55 a 65 % do sue negócio absurdo",0
@mutrano @meninowq mas fica mesmo preço que pedir no ifood?,1
é muita preguiça pedir pão francês pelo ifood?,1
"A alegria de pobre dura pouco mesmo né? Pedi um milkshake no IFood, veio sem canudo e tive que tomar na colher",1
10 conto no iFood https://t.co/4kFIMjBuqc,2
Hoje tive reunião às 7hrs da manhã. Depois trabalhei muito. Agora as 18 vou fazer terapia. Depois as 20hrs tem outra reunião até às 22hrs. Aí o porteiro aqui do prédio acha certo me julgar por estar vivendo de iFood essa semana ?!?!?!?!?,2
"@meninowq o negócio do mc la é a msm coisa, caga o endereço todo e o cara ainda te chama pelo ifood pra perguntar onde é",1
"Cara eu preciso desinstalar o iFood, já tô procurando coisa pra comer hj a noite",2
A vagabunda aqui deu de que quer pedir ifood td dia,2
"janta e sobremesa por 0,99 obg ifood",2
"@julianohen63 Rodízio de pizza, cupom ifood",2
"Po, eu consigo viver tranquilamente gastando só 300 reais/mês no mercado
Vcs que não sabem administrar o dinheiro de vcs e tão aí reclamando... 
A única diferença é que quando eu gasto só isso de mercado eu normalmente gasto mais trezentos de ifood",2
@drioxf No ifood.,1
"@missharupink nossas mentes conectadas então, pois acabei de meter um confirmar pedido no ifood",2
"Incrível como os atendentes do @iFood não estão preparados para o atendimento. Vc explica o seu problema e eles ignoram
Desde o dia 13/04 tentando abrir minha conta e não consigo por conta da incompetência dos funcionários.
Mas para ficar com o dinheiro do trabalhador eles sabem",0
Tem taco Bell no Ifood ?,1
Eu cheguei num auge: Pedir pão na padaria pelo iFood hahahaahahahah,2
o ifood está indo longe dms https://t.co/rZcHU4ry7L,1
"@BrazMariana_ @lolaferreira Não pq é taxa de serviço, não é um novo produto, entende? Se para comprar o ingresso x vc tb precisasse comprar o y seria venda casada, mas é pela emissão do próprio ingresso. É como pagar a taxa de entrega do ifood.",1
a ifood engraçado https://t.co/p8ij1wTdZs,1
"@iFood @CazeTVOficial Que luxo do escritório hein @iFood , mas os motoboys de vocês vivem em dificuldades diárias - que lixo de empresa!",0
"queria um docinho

será que existe alguma coisa no ifood abaixo de 14 reais?",1
@febraniss @CorrupcaoMemes A culpa disso é do iFood?,1
pedi no ifood 💀💀💀💀,1
"Terça, dia de clone no @ManiaCaseira. Já coloquei no carrinho, tirei e desinstalei o ifood duas vezes.

Resisti, Bosco, tu tá sem fome..",1
"Ia pedir um ifood, fui olhar a fatura do cartão e acho q vou ficar com fome",1
"@renata_vegvida Um ex amigo meu tem uma hamburgueria e disse que adora o iFood, apesar da taxa abusiva, só pra não ter que lidar com isso!",2
"se vendessem salgado aqui nesse condomínio da empresa, a pessoa que vendesse ia faturar mt uma hora dessa, eu peço ifood mas as vezes da vontade de comer aquele salgado duvidoso, joelho, salsicha e o ifood só tras coisa do barra shopping, minhas opção mc&amp;kfc 😭",1
@iFood qual a solução para o problema? @ProConsumidorRD ?,1
"Mó bonito e tecnológico o escritório do Ifood montado nas costas dos entregadores, né? Mó glamour, show",0
@vampzlua @eae_juliane esse horario tem promoçãono ifood é ?,1
"@linafromheaven Olha não é por nada não, mas isso acontece. Teve uma época que eu tinha uma XJ6 600cc, era motorzão daqueles que ronca alto e eu fazia bico no ifood de vez em quando e durante uma entrega(não era pizza, era comida chinesa)a mulher veio atender a porta de roupão e pediu pra entrar",1
"meu irmão é o melhor sommelier de ifood que eu conheço, tudo que ele pede é bom, tudo que eu peço é duvidoso",1
"@CorrupcaoMemes Pois é, agora faça o seguinte teste: tire os motoboys que fazem entregas do ifood e em seguida faça um pedido pra ver o que acontece 😂",1
pegar essas entreguinha do ifood mrm 💸,1
"@LucasWeyne @gleisom_barbosa @iFood Olá! Consumidores com problemas podem registrar a reclamação. Residindo no estado de SP, acesse https://t.co/8vrFpgBrNq , e faça a reclamação.",0
"Tô extremamente puta e rabugenta com a entrega errada de um subway que chegou em vez do meu pedido. O Ifood estornou, cancelou e disse que eu poderia ficar com o pedido que chegou, só que assim.... Tô comendo um pão sem caráter, xoxo, capenga, sem personalidade, terrível",0
"@rezende_86 @iFood @carrefourbrasil Olá! Informamos que a conduta do fornecedor caracteriza-se como descumprimento à oferta, conforme artigo 35 do CDC. Caso resida no estado de São Paulo, digitalize os documentos referentes à compra, acesse https://t.co/8vrFpgBrNq  e faça a reclamação.",0
Fui pedir um cosechas agora no ifood e o app disse que a loja ta fechada 🤡,0
"Eu pedi
Eu pedi o hambúrguer vegetariano de novo no Ifood",2
"@Flexadubc @choquei Meu ifood não aparece uma dessas há meses.
Saudades, comprei salgado num lugar caríssimo da cidade da última vez, eles devem ter esfregado no saco",0
@iFood Me responde lá,0
@amilandepre Tem que mandar o messias de volta pro Ifood,1
Volta pro ifood pelo amor de Deus,2
Acabei de pegar um RANGO na imigrantes por 5 conto obrigado Ifood,2
Largo 18h e o iFood vai chegar 17:56 😡,1
Essa semana vou me alimentar direito chega de ifood kkkkk,1
Ganhei um lanche do ifood kkkkkkk,2
"acordei com ele me mandando msg falando que o código do ifood é tal e que já tava na portaria 
era pãozinho , nutella e um redbull 🥹🫶🏻 comi pão com nutella antes de ir pra faculdade e n vejo a hora de chegar em casa pra comer dnv",2
eu levei 3 kg de açaí pra gii pra ela pedir ifood de açaí mds kkkkkkkkkkkk,1
